G80SH ETW 0924-1128-1   g80sh-dxg-0924-1128-1.etl
범위: 11:24:49.051 ~ 11:28:08.381

== provider/id 분포 ==
DxgKrnl 10011                                        2193
Kernel-PnP 222                                         80
Kernel-PnP 220                                         80
Kernel-PnP 808                                          8
Kernel-PnP 1010                                         4

== SAM7B0C 1010: 2 건 ==

-- 첫 3건은 화면 꺼짐 전환 구간을 포함해 넓게(-60초), 나머지는 -6초 --

---- #1  1010 @ 11:26:54.156   (-60s 구간, 922건) ----
    -22472ms  Kernel-PnP               220  Begin querying bus relations for device HTREE\ROOT\0
    -22472ms  Kernel-PnP               222  End querying bus relations for device HTREE\ROOT\0
    -22449ms  Kernel-PnP               220  Begin querying bus relations for device SWD\PRINTENUM\PrintQueues
    -22449ms  Kernel-PnP               222  End querying bus relations for device SWD\PRINTENUM\PrintQueues
    -22448ms  Kernel-PnP               220  Begin querying bus relations for device SWD\PRINTENUM\PrintQueues
    -22448ms  Kernel-PnP               222  End querying bus relations for device SWD\PRINTENUM\PrintQueues
      -725ms  DxgKrnl                10011  
      -725ms  DxgKrnl                10011  
      -719ms  DxgKrnl                10011  
      -719ms  DxgKrnl                10011  
      -719ms  DxgKrnl                10011  
      -719ms  DxgKrnl                10011  
      -719ms  DxgKrnl                10011  
      -715ms  DxgKrnl                10011  
      -715ms  DxgKrnl                10011  
      -431ms  DxgKrnl                10011  
      -431ms  DxgKrnl                10011  
      -421ms  DxgKrnl                10011  
      -421ms  DxgKrnl                10011  
      -421ms  DxgKrnl                10011  
      -420ms  DxgKrnl                10011  
      -419ms  DxgKrnl                10011  
      -419ms  DxgKrnl                10011  
      -419ms  DxgKrnl                10011  
      -419ms  DxgKrnl                10011  
      -419ms  DxgKrnl                10011  
      -419ms  DxgKrnl                10011  
      -419ms  DxgKrnl                10011  
      -419ms  DxgKrnl                10011  
      -419ms  DxgKrnl                10011  
      -417ms  DxgKrnl                10011  
      -417ms  DxgKrnl                10011  
      -416ms  DxgKrnl                10011  
      -416ms  DxgKrnl                10011  
      -416ms  DxgKrnl                10011  
      -415ms  DxgKrnl                10011  
      -415ms  DxgKrnl                10011  
      -415ms  DxgKrnl                10011  
      -415ms  DxgKrnl                10011  
      -415ms  DxgKrnl                10011  
      -414ms  DxgKrnl                10011  
      -414ms  DxgKrnl                10011  
      -414ms  DxgKrnl                10011  
      -414ms  DxgKrnl                10011  
      -413ms  DxgKrnl                10011  
      -413ms  DxgKrnl                10011  
      -413ms  DxgKrnl                10011  
      -413ms  DxgKrnl                10011  
      -413ms  DxgKrnl                10011  
      -413ms  DxgKrnl                10011  
      -413ms  DxgKrnl                10011  
      -413ms  DxgKrnl                10011  
      -413ms  DxgKrnl                10011  
